iteration,population_size,to_mate,to_mutate,fitness,time
1510,200,25,10,22.0,0.087857
1520,200,25,10,17.0,0.119101206
1530,200,25,10,15.0,0.095571538
1540,200,25,10,23.0,0.091309766
1550,200,25,10,12.0,0.115844672
1560,200,25,10,28.0,0.094663398
1570,200,25,10,16.0,0.093933538
1580,200,25,10,18.0,0.11581711
1590,200,25,10,32.0,0.095118028
1600,200,25,10,18.0,0.09376797
1610,200,25,10,25.0,0.118904872
1620,200,25,10,27.0,0.120893638
1630,200,25,10,25.0,0.102963998
1640,200,25,10,22.0,0.109288066
1650,200,25,10,14.0,0.100311808
1660,200,25,10,20.0,0.112568527
1670,200,25,10,18.0,0.102760586
1680,200,25,10,29.0,0.106430255
1690,200,25,10,21.0,0.099904723
1700,200,25,10,24.0,0.112537808
1710,200,25,10,30.0,0.140865949
1720,200,25,10,28.0,0.107678152
1730,200,25,10,22.0,0.127494432
1740,200,25,10,25.0,0.108306673
1750,200,25,10,16.0,0.124183516
1760,200,25,10,16.0,0.108735127
1770,200,25,10,23.0,0.108639013
1780,200,25,10,21.0,0.114610804
1790,200,25,10,25.0,0.126137738
1800,200,25,10,21.0,0.11689471
1810,200,25,10,25.0,0.112592907
1820,200,25,10,22.0,0.113012167
1830,200,25,10,19.0,0.121588289
1840,200,25,10,27.0,0.115067954
1850,200,25,10,26.0,0.112693569
1860,200,25,10,20.0,0.113233712
1870,200,25,10,22.0,0.116317126
1880,200,25,10,25.0,0.131014695
1890,200,25,10,23.0,0.118861012
1900,200,25,10,31.0,0.117930947
1910,200,25,10,33.0,0.123650444
1920,200,25,10,25.0,0.118568431
1930,200,25,10,23.0,0.120938121
1940,200,25,10,31.0,0.119553162
1950,200,25,10,30.0,0.13073299
1960,200,25,10,31.0,0.143659069
1970,200,25,10,23.0,0.126653712
1980,200,25,10,28.0,0.121230625
1990,200,25,10,27.0,0.12654859
2000,200,25,10,29.0,0.124572155
2010,200,25,10,37.0,0.125335256
2020,200,25,10,26.0,0.125099107
2030,200,25,10,19.0,0.159050482
2040,200,25,10,19.0,0.122741271
2050,200,25,10,32.0,0.135580511
2060,200,25,10,31.0,0.127667289
2070,200,25,10,26.0,0.137049602
2080,200,25,10,17.0,0.125833521
2090,200,25,10,23.0,0.131427316
2100,200,25,10,19.0,0.129462994
2110,200,25,10,24.0,0.161647084
2120,200,25,10,18.0,0.12572763
2130,200,25,10,19.0,0.155614674
2140,200,25,10,25.0,0.130165926
2150,200,25,10,21.0,0.136816493
2160,200,25,10,24.0,0.131472466
2170,200,25,10,19.0,0.136121949
2180,200,25,10,31.0,0.164170881
2190,200,25,10,20.0,0.141373
2200,200,25,10,28.0,0.138738423
2210,200,25,10,28.0,0.14551639
2220,200,25,10,28.0,0.131858398
2230,200,25,10,26.0,0.142754596
2240,200,25,10,25.0,0.133535767
2250,200,25,10,21.0,0.169728135
2260,200,25,10,22.0,0.135349408
2270,200,25,10,45.0,0.144233236
2280,200,25,10,35.0,0.141526481
2290,200,25,10,32.0,0.147302743
2300,200,25,10,26.0,0.137262677
2310,200,25,10,37.0,0.143887206
2320,200,25,10,17.0,0.181389146
2330,200,25,10,26.0,0.153330527
2340,200,25,10,16.0,0.137490537
2350,200,25,10,27.0,0.155536356
2360,200,25,10,23.0,0.140016164
2370,200,25,10,32.0,0.152883871
2380,200,25,10,23.0,0.161037694
2390,200,25,10,24.0,0.15150382
2400,200,25,10,24.0,0.151001663
2410,200,25,10,28.0,0.154520232
2420,200,25,10,35.0,0.143941286
2430,200,25,10,30.0,0.153600393
2440,200,25,10,24.0,0.144528082
2450,200,25,10,29.0,0.189984524
2460,200,25,10,19.0,0.145367527
2470,200,25,10,19.0,0.170576008
2480,200,25,10,28.0,0.159673514
2490,200,25,10,29.0,0.161079883
2500,200,25,10,20.0,0.147544229
2510,200,25,10,25.0,0.171580001
2520,200,25,10,33.0,0.159938656
2530,200,25,10,35.0,0.161557639
2540,200,25,10,33.0,0.153378009
2550,200,25,10,20.0,0.162423336
2560,200,25,10,19.0,0.149486427
2570,200,25,10,25.0,0.189823642
2580,200,25,10,27.0,0.154082686
2590,200,25,10,27.0,0.164777256
2600,200,25,10,29.0,0.160915944
2610,200,25,10,27.0,0.167757711
2620,200,25,10,39.0,0.154990601
2630,200,25,10,42.0,0.18436864
2640,200,25,10,28.0,0.15511144
2650,200,25,10,27.0,0.166532205
2660,200,25,10,24.0,0.161853016
2670,200,25,10,28.0,0.167047819
2680,200,25,10,51.0,0.159993221
2690,200,25,10,42.0,0.187380182
2700,200,25,10,37.0,0.158776549
2710,200,25,10,27.0,0.176818876
2720,200,25,10,35.0,0.165683379
2730,200,25,10,33.0,0.170123777
2740,200,25,10,26.0,0.161905438
2750,200,25,10,31.0,0.193541844
2760,200,25,10,22.0,0.161205622
2770,200,25,10,36.0,0.190748995
2780,200,25,10,27.0,0.169076202
2790,200,25,10,24.0,0.174283047
2800,200,25,10,28.0,0.171330752
2810,200,25,10,40.0,0.194789944
2820,200,25,10,31.0,0.167243223
2830,200,25,10,31.0,0.180968382
2840,200,25,10,30.0,0.168082368
2850,200,25,10,27.0,0.177815046
2860,200,25,10,24.0,0.182927076
2870,200,25,10,25.0,0.178194862
2880,200,25,10,36.0,0.170104094
2890,200,25,10,34.0,0.182314215
2900,200,25,10,27.0,0.171106826
2910,200,25,10,32.0,0.187232408
2920,200,25,10,20.0,0.214057385
2930,200,25,10,27.0,0.177717678
2940,200,25,10,33.0,0.190187907
2950,200,25,10,37.0,0.178803278
2960,200,25,10,37.0,0.191168424
2970,200,25,10,39.0,0.219557305
2980,200,25,10,40.0,0.185391698
2990,200,25,10,41.0,0.188949317
3000,200,25,10,24.0,0.180344732
3010,200,25,10,36.0,0.189568872
3020,200,25,10,40.0,0.224205615
3030,200,25,10,29.0,0.181289924
3040,200,25,10,23.0,0.207816656
3050,200,25,10,32.0,0.188336039
3060,200,25,10,28.0,0.193375035
3070,200,25,10,34.0,0.21622079
3080,200,25,10,25.0,0.19867083
3090,200,25,10,26.0,0.193661851
3100,200,25,10,33.0,0.191059038
3110,200,25,10,40.0,0.200457284
