iterations,samples,to_keep,m,fitness,time
380,50,10,0.5,80.0,0.712924314
390,50,10,0.5,80.0,0.731621854
400,50,10,0.5,80.0,0.738274943
410,50,10,0.5,80.0,0.756692412
420,50,10,0.5,79.0,0.794635949
430,50,10,0.5,80.0,0.92528458
440,50,10,0.5,80.0,0.92043986
450,50,10,0.5,80.0,0.953164875
460,50,10,0.5,80.0,0.921738144
470,50,10,0.5,80.0,0.897559523
480,50,10,0.5,80.0,1.201054775
490,50,10,0.5,80.0,1.081485501
0,50,10,0.7,54.0,7.3230000055e-06
10,50,10,0.7,69.0,0.024122755
20,50,10,0.7,70.0,0.049818153
30,50,10,0.7,71.0,0.091296522
40,50,10,0.7,79.0,0.12785298
50,50,10,0.7,71.0,0.110670165
60,50,10,0.7,76.0,0.146966312
70,50,10,0.7,76.0,0.148296395
80,50,10,0.7,77.0,0.223057229
90,50,10,0.7,77.0,0.202289822
100,50,10,0.7,76.0,0.206160226
110,50,10,0.7,75.0,0.221637586
120,50,10,0.7,76.0,0.235108999
130,50,10,0.7,76.0,0.257582177
140,50,10,0.7,76.0,0.278516945
150,50,10,0.7,80.0,0.328383224
160,50,10,0.7,79.0,0.437206342
170,50,10,0.7,78.0,0.438423334
180,50,10,0.7,78.0,0.379839706
190,50,10,0.7,79.0,0.508963949
200,50,10,0.7,78.0,0.49092755
210,50,10,0.7,79.0,0.490926682
220,50,10,0.7,78.0,0.429505864
230,50,10,0.7,77.0,0.602380067
240,50,10,0.7,79.0,0.499922849
250,50,10,0.7,80.0,0.691240655
260,50,10,0.7,79.0,0.665685981
270,50,10,0.7,78.0,0.552261749
280,50,10,0.7,78.0,0.532856607
290,50,10,0.7,79.0,0.557566839
300,50,10,0.7,79.0,0.572166451
310,50,10,0.7,80.0,0.649443302
320,50,10,0.7,80.0,0.611369238
330,50,10,0.7,80.0,0.691208355
340,50,10,0.7,79.0,0.655323037
350,50,10,0.7,79.0,0.660561268
360,50,10,0.7,79.0,0.676714685
370,50,10,0.7,78.0,0.72422336
380,50,10,0.7,80.0,0.717521114
390,50,10,0.7,79.0,0.726103102
400,50,10,0.7,79.0,0.760151123
410,50,10,0.7,79.0,0.775741528
420,50,10,0.7,80.0,0.816300756
430,50,10,0.7,77.0,0.877966429
440,50,10,0.7,79.0,1.011646011
450,50,10,0.7,79.0,0.912406092
460,50,10,0.7,79.0,0.963146321
470,50,10,0.7,80.0,0.975348586
480,50,10,0.7,80.0,0.907040437
490,50,10,0.7,79.0,0.944066904
0,50,10,0.9,50.0,9.51200000543e-06
10,50,10,0.9,66.0,0.024827291
20,50,10,0.9,73.0,0.043230793
30,50,10,0.9,75.0,0.066116453
40,50,10,0.9,75.0,0.090925824
50,50,10,0.9,75.0,0.106453002
60,50,10,0.9,76.0,0.128856026
70,50,10,0.9,75.0,0.143398179
80,50,10,0.9,75.0,0.161282758
90,50,10,0.9,78.0,0.177958382
100,50,10,0.9,78.0,0.208766481
110,50,10,0.9,77.0,0.226544028
120,50,10,0.9,76.0,0.242272845
130,50,10,0.9,79.0,0.268771571
140,50,10,0.9,76.0,0.291199285
150,50,10,0.9,75.0,0.295475608
160,50,10,0.9,77.0,0.31255738
170,50,10,0.9,78.0,0.33668654
180,50,10,0.9,80.0,0.352695911
190,50,10,0.9,78.0,0.376949378
200,50,10,0.9,79.0,0.394826013
210,50,10,0.9,77.0,0.411675906
220,50,10,0.9,78.0,0.435663271
230,50,10,0.9,77.0,0.445696169
240,50,10,0.9,80.0,0.465869928
250,50,10,0.9,79.0,0.48644747
260,50,10,0.9,79.0,0.504834261
270,50,10,0.9,79.0,0.52281187
280,50,10,0.9,76.0,0.568419724
290,50,10,0.9,77.0,0.567625231
300,50,10,0.9,79.0,0.61436414
310,50,10,0.9,79.0,0.600864758
320,50,10,0.9,78.0,0.632025369
330,50,10,0.9,78.0,0.679228845
340,50,10,0.9,79.0,0.653153798
350,50,10,0.9,79.0,0.677720355
360,50,10,0.9,79.0,0.722295582
370,50,10,0.9,78.0,0.718063642
380,50,10,0.9,79.0,0.729742801
390,50,10,0.9,80.0,0.768607159
400,50,10,0.9,78.0,0.792699926
410,50,10,0.9,80.0,0.866417165
420,50,10,0.9,80.0,0.839582848
430,50,10,0.9,80.0,0.887422535
440,50,10,0.9,80.0,0.916487249
450,50,10,0.9,77.0,0.975371195
460,50,10,0.9,79.0,0.972627358
470,50,10,0.9,80.0,0.951851031
480,50,10,0.9,78.0,0.995751694
490,50,10,0.9,79.0,0.957985712
