iteration,population_size,to_mate,to_mutate,fitness,time
1050,200,110,2,4169.00342888,0.09548214
1060,200,110,2,4155.67394101,0.087220726
1070,200,110,2,4156.96171544,0.157181919
1080,200,110,2,3906.94496081,0.234592304
1090,200,110,2,4001.8269934,0.135197942
1100,200,110,2,4093.14485853,0.100666629
1110,200,110,2,4103.93411023,0.236356222
1120,200,110,2,4011.27913184,0.187937496
1130,200,110,2,4047.22837606,0.166342469
1140,200,110,2,4059.9197213,0.167685456
1150,200,110,2,3812.75986826,0.235216348
1160,200,110,2,3991.07599907,0.212400621
1170,200,110,2,4063.16361456,0.096718835
1180,200,110,2,4098.45282845,0.096075013
1190,200,110,2,4052.31721334,0.102957978
1200,200,110,2,4103.24658008,0.098678039
1210,200,110,2,3968.69564164,0.102172846
1220,200,110,2,4020.0574128,0.10426477
1230,200,110,2,4073.70062319,0.108015053
1240,200,110,2,4001.93118201,0.101853788
1250,200,110,2,4088.2431861,0.10090125
1260,200,110,2,4074.21302462,0.105924459
1270,200,110,2,4047.72638562,0.10225998
1280,200,110,2,4034.78658116,0.111110424
1290,200,110,2,3969.32977154,0.14795474
1300,200,110,2,3993.65791277,0.128833641
1310,200,110,2,4066.0105139,0.117674048
1320,200,110,2,3917.73165226,0.107783115
1330,200,110,2,4091.65142905,0.109032965
1340,200,110,2,4027.33074628,0.111887859
1350,200,110,2,4076.45751514,0.113856171
1360,200,110,2,3970.02608809,0.109779272
1370,200,110,2,4093.66075835,0.109959956
1380,200,110,2,3972.70380515,0.115211871
1390,200,110,2,4090.62113655,0.141081492
1400,200,110,2,4004.17262409,0.115977733
1410,200,110,2,4017.19763227,0.202290185
1420,200,110,2,4113.59370883,0.455995065
1430,200,110,2,4120.91386993,0.294071831
1440,200,110,2,3982.2962529,0.252595657
1450,200,110,2,4095.23416867,0.483848459
1460,200,110,2,4039.54961384,0.441437394
1470,200,110,2,4191.48167381,0.181785201
1480,200,110,2,3957.02852419,0.436561095
1490,200,110,2,3956.28363547,0.220525117
1500,200,110,2,4064.86167465,0.216455802
1510,200,110,2,3985.39828719,0.125661374
1520,200,110,2,3974.89362073,0.136394617
1530,200,110,2,4020.85114338,0.258412456
1540,200,110,2,3990.20127029,0.726149009
1550,200,110,2,3960.66613818,0.276595407
1560,200,110,2,4001.23894602,0.338651574
1570,200,110,2,3843.56112318,0.381694165
1580,200,110,2,4033.53638532,0.157451921
1590,200,110,2,4079.31132542,0.165389828
1600,200,110,2,4158.88024048,0.192209405
1610,200,110,2,4009.33839543,0.15768912
1620,200,110,2,3957.49393851,0.156583362
1630,200,110,2,4093.43559611,0.18062797
1640,200,110,2,4091.9070573,0.168924493
1650,200,110,2,4022.15453794,0.195706997
1660,200,110,2,4052.06055087,0.152285231
1670,200,110,2,4125.17418356,0.16878561
1680,200,110,2,4148.89630657,0.159568068
1690,200,110,2,4156.54052572,0.178078143
1700,200,110,2,4126.2932051,0.161948966
1710,200,110,2,4002.03280409,0.195720349
1720,200,110,2,4065.69721322,0.159082063
1730,200,110,2,3951.08350688,0.180741159
1740,200,110,2,4142.24128169,0.2373746
1750,200,110,2,4043.6509289,0.169723203
1760,200,110,2,3993.46952772,0.173256399
1770,200,110,2,4226.3274693,0.230444401
1780,200,110,2,3971.92928145,0.871950393
1790,200,110,2,3966.95102073,0.185033248
1800,200,110,2,4098.71127335,0.185755589
1810,200,110,2,3993.03408216,0.173108338
1820,200,110,2,4087.72934291,0.177170179
1830,200,110,2,4005.4178303,0.22396818
1840,200,110,2,3986.7180616,0.182278303
1850,200,110,2,4079.37480473,0.176501923
1860,200,110,2,4042.84167142,0.180643996
1870,200,110,2,3998.90478061,0.183065284
1880,200,110,2,3994.92944517,0.177241956
1890,200,110,2,4009.4795314,0.186493673
1900,200,110,2,4107.07650255,0.182102698
1910,200,110,2,4229.35339896,0.190284394
1920,200,110,2,4120.78271671,0.184639764
1930,200,110,2,4106.8812441,0.182009662
1940,200,110,2,4176.24067508,0.218783275
1950,200,110,2,4009.72450721,0.197889062
1960,200,110,2,4129.14503804,0.230818374
1970,200,110,2,4023.82492056,0.240966801
1980,200,110,2,4068.48522358,0.20547519
1990,200,110,2,4111.52874637,0.223347502
2000,200,110,2,4039.92761267,0.199913486
2010,200,110,2,3957.72989524,0.200619147
2020,200,110,2,4095.00946023,0.195952902
2030,200,110,2,4112.00532376,0.194490817
2040,200,110,2,4048.12333788,0.217642587
2050,200,110,2,4092.32986569,0.24307651
2060,200,110,2,4056.79937902,0.245965
2070,200,110,2,4116.61626529,0.225933647
2080,200,110,2,3967.44377902,0.281075209
2090,200,110,2,4120.0080544,0.192042268
2100,200,110,2,4040.26386384,0.181501864
2110,200,110,2,4203.39285906,0.179459524
2120,200,110,2,4009.71059128,0.193259503
2130,200,110,2,4101.38058556,0.209582439
2140,200,110,2,4077.34817674,0.430505873
2150,200,110,2,4081.92985968,0.772292824
2160,200,110,2,4052.31422659,0.411842603
2170,200,110,2,4120.27881368,0.35247063
2180,200,110,2,4146.66410574,0.328763059
2190,200,110,2,4085.45177483,0.318086202
2200,200,110,2,4067.95259917,0.341360947
