iterations,samples,to_keep,m,fitness,time
130,200,100,0.5,3616.3960508,0.157664604
140,200,100,0.5,3586.51297678,0.149478241
150,200,100,0.5,3563.07632658,0.169563795
160,200,100,0.5,3568.37847946,0.181742468
170,200,100,0.5,3513.95664326,0.217447176
180,200,100,0.5,3578.68541739,0.203066931
190,200,100,0.5,3577.21501098,0.216347108
200,200,100,0.5,3652.28759723,0.223320728
210,200,100,0.5,3595.34998474,0.242348675
220,200,100,0.5,3514.4714563,0.243839954
230,200,100,0.5,3644.14249722,0.248332874
240,200,100,0.5,3499.50811794,0.259399699
250,200,100,0.5,3678.68339907,0.267000282
260,200,100,0.5,3578.55251053,0.286106748
270,200,100,0.5,3665.89092112,0.289715948
280,200,100,0.5,3630.17845961,0.299794156
290,200,100,0.5,3623.42886975,0.310974197
300,200,100,0.5,3586.9777716,0.349127872
310,200,100,0.5,3545.20961937,0.466613909
320,200,100,0.5,3620.49812154,0.366424635
330,200,100,0.5,3560.56802983,0.351267681
340,200,100,0.5,3586.9428407,0.368609255
350,200,100,0.5,3655.79397731,0.367481384
360,200,100,0.5,3641.54087975,0.377038545
370,200,100,0.5,3616.42528906,0.404356047
380,200,100,0.5,3589.12841895,0.404293114
390,200,100,0.5,3606.57897917,0.413563609
400,200,100,0.5,3599.24827824,0.430956434
410,200,100,0.5,3534.85767696,0.440805648
420,200,100,0.5,3579.95121196,0.437485952
430,200,100,0.5,3526.77736719,0.474372948
440,200,100,0.5,3497.41068945,0.485816875
450,200,100,0.5,3598.72916322,0.525234042
460,200,100,0.5,3610.09280194,0.48216437
470,200,100,0.5,3569.5760439,0.495036153
480,200,100,0.5,3625.44799313,0.549010884
490,200,100,0.5,3582.15300086,0.532135068
0,200,100,0.7,2528.60114779,2.3585000001e-05
10,200,100,0.7,3566.96992552,0.016450148
20,200,100,0.7,3550.68674673,0.023287793
30,200,100,0.7,3560.3833826,0.034655948
40,200,100,0.7,3553.11888465,0.044538861
50,200,100,0.7,3623.10015421,0.055606805
60,200,100,0.7,3614.42408988,0.083083673
70,200,100,0.7,3578.78254958,0.079823854
80,200,100,0.7,3538.89595672,0.089101503
90,200,100,0.7,3506.15936318,0.108797161
100,200,100,0.7,3561.69295802,0.110436188
110,200,100,0.7,3528.19435794,0.12427091
120,200,100,0.7,3605.35521673,0.152165144
