iterations,samples,to_keep,fitness,time
80,200,20,0.7,50.0,1.558430866
90,200,20,0.7,41.0,1.860628322
100,200,20,0.7,45.0,1.843083406
110,200,20,0.7,44.0,1.837677756
120,200,20,0.7,50.0,2.021271398
130,200,20,0.7,54.0,2.279033725
140,200,20,0.7,51.0,2.809339136
150,200,20,0.7,56.0,2.79935758
160,200,20,0.7,58.0,2.836634682
170,200,20,0.7,55.0,3.080990662
180,200,20,0.7,53.0,3.479031931
190,200,20,0.7,55.0,3.130834236
200,200,20,0.7,62.0,3.186655706
210,200,20,0.7,57.0,3.463940814
220,200,20,0.7,58.0,3.601150535
230,200,20,0.7,63.0,3.728787659
240,200,20,0.7,54.0,4.02833481
250,200,20,0.7,58.0,4.325511752
260,200,20,0.7,61.0,4.367168183
270,200,20,0.7,65.0,5.064494315
280,200,20,0.7,57.0,4.912518381
290,200,20,0.7,57.0,5.391762954
300,200,20,0.7,56.0,5.41299818
310,200,20,0.7,61.0,5.5699372
320,200,20,0.7,62.0,5.257062628
330,200,20,0.7,64.0,6.599914129
340,200,20,0.7,69.0,6.481605188
350,200,20,0.7,61.0,6.899634569
360,200,20,0.7,70.0,6.698317202
370,200,20,0.7,66.0,7.776335791
380,200,20,0.7,67.0,6.376032084
390,200,20,0.7,65.0,7.012062183
400,200,20,0.7,64.0,7.368723613
410,200,20,0.7,63.0,7.155813721
420,200,20,0.7,67.0,7.237067696
430,200,20,0.7,72.0,7.296745395
440,200,20,0.7,62.0,7.25972883
450,200,20,0.7,67.0,7.308340207
460,200,20,0.7,71.0,7.308920541
470,200,20,0.7,65.0,8.668473586
480,200,20,0.7,67.0,9.431667844
490,200,20,0.7,63.0,8.817165492
0,200,20,0.9,8.0,1.58560000045e-05
10,200,20,0.9,28.0,0.194056299
20,200,20,0.9,21.0,0.365752174
30,200,20,0.9,32.0,0.549720624
40,200,20,0.9,34.0,0.706015427
50,200,20,0.9,35.0,0.884587897
60,200,20,0.9,35.0,1.104028203
70,200,20,0.9,42.0,1.167952569
80,200,20,0.9,38.0,1.365862758
90,200,20,0.9,37.0,1.530011251
100,200,20,0.9,48.0,1.672729829
110,200,20,0.9,43.0,1.835003944
120,200,20,0.9,51.0,1.995556395
130,200,20,0.9,47.0,2.170379719
140,200,20,0.9,48.0,2.370731932
150,200,20,0.9,47.0,2.540626374
160,200,20,0.9,50.0,2.714416965
170,200,20,0.9,49.0,2.917138719
180,200,20,0.9,53.0,2.990775842
190,200,20,0.9,51.0,3.303264391
200,200,20,0.9,51.0,3.560575039
210,200,20,0.9,44.0,4.051120878
220,200,20,0.9,52.0,3.943637247
230,200,20,0.9,52.0,4.128942702
240,200,20,0.9,51.0,4.246383166
250,200,20,0.9,54.0,4.183452682
260,200,20,0.9,54.0,4.228347959
270,200,20,0.9,53.0,4.461556713
280,200,20,0.9,66.0,4.605311477
290,200,20,0.9,54.0,4.792092719
300,200,20,0.9,46.0,4.945824554
310,200,20,0.9,48.0,5.077725068
320,200,20,0.9,55.0,5.192946864
330,200,20,0.9,54.0,5.329512043
340,200,20,0.9,61.0,5.557158501
350,200,20,0.9,55.0,5.721537179
360,200,20,0.9,60.0,5.885746701
370,200,20,0.9,50.0,5.96787992
380,200,20,0.9,56.0,6.24291059
390,200,20,0.9,56.0,6.287330032
400,200,20,0.9,54.0,6.44092663
410,200,20,0.9,52.0,6.593562278
420,200,20,0.9,53.0,6.84004249
430,200,20,0.9,52.0,7.008561639
440,200,20,0.9,56.0,7.166560462
450,200,20,0.9,62.0,7.333912591
460,200,20,0.9,54.0,7.772048681
470,200,20,0.9,49.0,7.605969975
480,200,20,0.9,54.0,7.809465878
490,200,20,0.9,56.0,7.891920248
